1,1,13
2,2,149
3,3,49
4,4,181
5,5,86
6,6,148
7,7,153
8,8,131
9,9,131
10,10,65
11,11,67
12,12,29
13,13,134
14,14,160
15,15,21
16,16,126
17,17,43
18,18,85
19,19,130
20,20,167
21,21,1
22,22,7
23,23,184
24,24,81
25,25,63
26,26,172
27,27,73
28,28,79
29,29,97
30,30,87
31,31,155
32,32,61
33,33,173
34,34,74
35,35,187
36,36,124
37,37,125
38,38,28
39,39,115
40,40,171
41,41,64
42,42,115
43,43,150
44,44,110
45,45,76
46,46,31
47,47,34
48,48,103
49,49,74
50,50,76
51,51,151
52,52,126
53,53,104
54,54,126
55,55,85
56,56,85
57,57,103
58,58,119
59,59,184
60,60,56
61,61,23
62,62,132
63,63,11
64,64,45
65,65,46
66,66,112
67,67,46
68,68,53
69,1,179
70,2,179
71,3,179
72,4,179
73,5,179
74,6,179
75,7,179
76,8,179
77,9,179
78,10,179
79,11,179
80,12,179
81,13,179
82,14,179
83,15,179
84,16,179
85,17,179
86,18,179
87,19,179
88,20,179
89,21,179
90,22,179
91,23,179
92,24,179
93,25,179
94,26,179
95,27,179
96,28,179
97,29,179
98,30,179
99,31,179
100,32,179
101,33,179
102,34,179
103,35,179
104,36,179
105,37,179
106,38,179
107,39,179
108,40,179
109,41,179
110,42,179
111,43,179
112,44,179
113,45,179
114,46,179
115,47,179
116,48,179
117,49,179
118,50,179
119,51,179
120,52,179
121,53,179
122,54,179
123,55,179
124,56,179
125,57,179
126,58,179
127,59,179
128,60,179
129,61,179
130,62,179
131,63,179
132,64,179
133,65,179
134,66,179
135,67,179
136,68,179
